"","X.node1","node2","node1_string_id","node2_string_id","neighborhood_on_chromosome","gene_fusion","phylogenetic_cooccurrence","homology","coexpression","experimentally_determined_interaction","database_annotated","automated_textmining","combined_score"
"222","KRT2","KRT5","9606.ENSP00000310861","9606.ENSP00000252242",0,0,0,0.957,0.067,0.778,0.4,0,0.864
"223","KRT2","KRT78","9606.ENSP00000310861","9606.ENSP00000306261",0,0,0,0.92,0.145,0,0.4,0,0.465
"224","KRT2","KRT73","9606.ENSP00000310861","9606.ENSP00000307014",0,0,0,0.946,0.235,0.045,0.4,0,0.523
"225","KRT2","KRT6A","9606.ENSP00000310861","9606.ENSP00000369317",0,0,0,0.958,0.067,0,0.4,0,0.416
"226","KRT2","SERPINA12","9606.ENSP00000310861","9606.ENSP00000342109",0,0,0,0,0.509,0.041,0,0,0.509
"227","KRT2","KRT77","9606.ENSP00000310861","9606.ENSP00000342710",0,0,0,0.956,0.393,0.722,0.4,0,0.889
"228","KRT5","KRT77","9606.ENSP00000252242","9606.ENSP00000342710",0,0,0,0.951,0.076,0,0.4,0,0.421
"229","KRT6A","KRT77","9606.ENSP00000369317","9606.ENSP00000342710",0,0,0,0.95,0.08,0,0.4,0,0.424
"230","KRT73","KRT77","9606.ENSP00000307014","9606.ENSP00000342710",0,0,0,0.947,0.066,0.045,0.4,0,0.418
"231","KRT77","KRT78","9606.ENSP00000342710","9606.ENSP00000306261",0,0,0,0.919,0.098,0,0.4,0,0.435
"232","KRT77","SERPINA12","9606.ENSP00000342710","9606.ENSP00000342109",0,0,0,0,0.625,0.041,0,0,0.625
"233","LAMA5","LAMC3","9606.ENSP00000252999","9606.ENSP00000354360",0,0,0,0.642,0.268,0.31,0.4,0,0.67
"234","LBP","OSM","9606.ENSP00000217407","9606.ENSP00000215781",0,0,0,0,0,0,0.4,0,0.4
"235","LBP","MMP1","9606.ENSP00000217407","9606.ENSP00000322788",0,0,0,0,0.044,0,0.4,0,0.401
"236","LBP","MMP3","9606.ENSP00000217407","9606.ENSP00000299855",0,0,0,0,0.048,0,0.4,0,0.404
"237","LCP1","PTPRC","9606.ENSP00000381581","9606.ENSP00000411355",0,0,0,0,0.447,0,0,0,0.447
"238","LMNB1","MKI67","9606.ENSP00000261366","9606.ENSP00000357643",0,0,0,0,0.415,0,0,0,0.415
"239","LMNB1","TOP2A","9606.ENSP00000261366","9606.ENSP00000411532",0,0,0,0,0.424,0,0,0,0.424
"240","LMNB1","MELK","9606.ENSP00000261366","9606.ENSP00000298048",0,0,0,0,0.288,0.306,0,0,0.484
"241","LRRC4B","PTPRF","9606.ENSP00000498662","9606.ENSP00000353030",0,0,0,0,0,0.113,0.9,0,0.907
"242","LRRC4B","PTPRS","9606.ENSP00000498662","9606.ENSP00000467537",0,0,0,0,0.084,0.113,0.5,0,0.558
"243","MELK","TTK","9606.ENSP00000298048","9606.ENSP00000358813",0,0,0,0.574,0.911,0,0,0,0.911
"244","MKI67","TTK","9606.ENSP00000357643","9606.ENSP00000358813",0,0,0,0,0.795,0,0,0,0.795
"245","MMP1","OSM","9606.ENSP00000322788","9606.ENSP00000215781",0,0,0,0,0.056,0,0.4,0,0.409
"246","MMP1","MMP7","9606.ENSP00000322788","9606.ENSP00000260227",0,0,0,0.916,0.149,0,0.5,0,0.556
"247","MMP1","MMP13","9606.ENSP00000322788","9606.ENSP00000260302",0,0,0,0.933,0.28,0,0.5,0,0.625
"248","MMP1","MMP10","9606.ENSP00000322788","9606.ENSP00000279441",0,0,0,0.946,0.562,0,0.5,0,0.772
"249","MMP1","MMP3","9606.ENSP00000322788","9606.ENSP00000299855",0,0,0,0.951,0.657,0,0.9,0,0.964
"250","MMP10","MMP3","9606.ENSP00000279441","9606.ENSP00000299855",0,0,0,0.98,0.393,0.818,0.5,0,0.939
"251","MMP12","MMP3","9606.ENSP00000458585","9606.ENSP00000299855",0,0,0,0.945,0.33,0,0.4,0,0.58
"252","MMP13","MMP3","9606.ENSP00000260302","9606.ENSP00000299855",0,0,0,0.943,0.206,0,0.4,0,0.503
"253","MMP3","OSM","9606.ENSP00000299855","9606.ENSP00000215781",0,0,0,0,0.047,0,0.4,0,0.403
"254","MMP3","MMP7","9606.ENSP00000299855","9606.ENSP00000260227",0,0,0,0.925,0.132,0,0.4,0,0.457
"255","MMP3","PTPRS","9606.ENSP00000299855","9606.ENSP00000467537",0,0,0,0,0.067,0.422,0,0,0.437
"256","MMP3","SPP1","9606.ENSP00000299855","9606.ENSP00000378517",0,0,0,0,0.07,0,0.75,0,0.757
"257","MMP7","SPP1","9606.ENSP00000260227","9606.ENSP00000378517",0,0,0,0,0.149,0,0.75,0,0.778
"258","MND1","TTK","9606.ENSP00000240488","9606.ENSP00000358813",0,0,0,0,0.652,0,0,0,0.652
"259","MYH7","NEB","9606.ENSP00000347507","9606.ENSP00000484342",0,0,0,0,0.502,0.07,0,0,0.517
"260","MYL2","NEB","9606.ENSP00000228841","9606.ENSP00000484342",0,0,0,0,0.502,0,0.5,0,0.74
"261","MYLPF","NEB","9606.ENSP00000325239","9606.ENSP00000484342",0,0,0,0,0.546,0,0,0,0.546
"262","NCAPG","TTK","9606.ENSP00000251496","9606.ENSP00000358813",0,0,0,0,0.923,0,0,0,0.923
"263","NDC80","TTK","9606.ENSP00000261597","9606.ENSP00000358813",0,0,0,0,0.948,0.663,0,0,0.981
"264","NEB","TNNT3","9606.ENSP00000484342","9606.ENSP00000370975",0,0,0,0,0.463,0.085,0.5,0,0.733
"265","NEB","TNNT1","9606.ENSP00000484342","9606.ENSP00000467176",0,0,0,0,0.195,0.085,0.5,0,0.599
"266","NEB","TPM2","9606.ENSP00000484342","9606.ENSP00000496494",0,0,0,0,0.086,0.292,0.5,0,0.648
"267","NEIL3","TTK","9606.ENSP00000264596","9606.ENSP00000358813",0,0,0,0,0.606,0,0,0,0.606
"268","NEK2","TTK","9606.ENSP00000355966","9606.ENSP00000358813",0,0,0,0.597,0.8,0,0,0,0.8
"269","NUSAP1","TTK","9606.ENSP00000499238","9606.ENSP00000358813",0,0,0,0,0.856,0,0,0,0.856
"270","OIP5","TTK","9606.ENSP00000220514","9606.ENSP00000358813",0,0,0,0,0.661,0,0,0,0.661
"271","PBK","TTK","9606.ENSP00000428489","9606.ENSP00000358813",0,0,0,0,0.903,0,0,0,0.903
"272","PF4","TNFAIP6","9606.ENSP00000296029","9606.ENSP00000243347",0,0,0,0,0.062,0.405,0,0,0.418
"273","PLEKHG4","TFRC","9606.ENSP00000353646","9606.ENSP00000376197",0,0,0,0,0.044,0,0.4,0,0.401
"274","RBP4","STRA6","9606.ENSP00000360522","9606.ENSP00000456609",0,0,0,0,0,0,0.8,0,0.8
"275","RHOH","TFRC","9606.ENSP00000371219","9606.ENSP00000376197",0,0,0,0,0.043,0.125,0.5,0,0.544
"276","RNASE2","RNASE3","9606.ENSP00000303276","9606.ENSP00000302324",0,0,0,0.967,0.972,0,0,0,0.972
"277","RRM2","TTK","9606.ENSP00000353770","9606.ENSP00000358813",0,0,0,0,0.689,0,0,0,0.689
"278","S100A8","TLR2","9606.ENSP00000357721","9606.ENSP00000260010",0,0,0,0,0.345,0.093,0.5,0,0.677
"279","S100A8","TLR8","9606.ENSP00000357721","9606.ENSP00000312082",0,0,0,0,0.402,0.093,0,0,0.434
"280","S100A8","TLR1","9606.ENSP00000357721","9606.ENSP00000354932",0,0,0,0,0.197,0.093,0.5,0,0.604
"281","S100A8","S100A9","9606.ENSP00000357721","9606.ENSP00000357727",0,0,0,0.794,0.999,0.977,0.9,0,0.999
"282","S100A9","TLR2","9606.ENSP00000357727","9606.ENSP00000260010",0,0,0,0,0.371,0.093,0.5,0,0.689
"283","S100A9","TLR8","9606.ENSP00000357727","9606.ENSP00000312082",0,0,0,0,0.442,0.093,0,0,0.472
"284","S100A9","TLR1","9606.ENSP00000357727","9606.ENSP00000354932",0,0,0,0,0.252,0.093,0.5,0,0.631
"285","SDC1","TNXB","9606.ENSP00000370542","9606.ENSP00000407685",0,0,0,0,0.042,0,0.9,0,0.9
"286","SHCBP1","TTK","9606.ENSP00000306473","9606.ENSP00000358813",0,0,0,0,0.651,0,0,0,0.651
"287","SKA3","TTK","9606.ENSP00000319417","9606.ENSP00000358813",0,0,0,0,0.802,0,0,0,0.802
"288","SPC25","TTK","9606.ENSP00000282074","9606.ENSP00000358813",0,0,0,0,0.726,0.325,0,0,0.807
"289","TACC2","TTK","9606.ENSP00000358001","9606.ENSP00000358813",0,0,0,0,0.307,0.292,0,0,0.488
"290","TFRC","TPD52","9606.ENSP00000376197","9606.ENSP00000429309",0,0,0,0,0.047,0,0.5,0,0.503
"291","TOP2A","TTK","9606.ENSP00000411532","9606.ENSP00000358813",0,0,0,0,0.858,0,0,0,0.858
"292","TTK","UBE2T","9606.ENSP00000358813","9606.ENSP00000494957",0,0,0,0,0.453,0,0,0,0.453
