"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KRT2",146.979191536435,9.53519386984691,0.890597209026315,10.706516675784,9.48643316318024e-27,9.30874840408932e-26
"HBB",99773.2200737571,8.38105327480509,0.474117271446481,17.6771735170824,6.2870014058186e-70,1.59029383034858e-67
"AK128525",13914.4492388924,7.99556414228106,0.552354821906704,14.4754129504667,1.7328191569864e-47,7.40499271830263e-46
"immunoglobulin_heavy_chain",894.284457211943,7.82805901268519,0.631723257938648,12.3915953929394,2.90211727572e-35,5.07505731973327e-34
"MYL1",26.4182723420897,7.73659887742551,1.67795429037929,4.61073279634853,4.01252019148145e-06,9.25585212187532e-06
"Ig_kappa",114044.565209263,7.66808000387727,0.5548730092336,13.8195224425649,1.94354918369963e-43,6.0310233777207e-42
"DKFZp667J0810",26311.5344328123,7.53056250048232,0.536320135966277,14.041170553693,8.72593306436866e-45,3.00570585691775e-43
"DSG1",98.4142005590983,7.47899393901589,0.905681026995982,8.25786752298728,1.4829801280619e-16,7.19426353485588e-16
"HBA1",15108.1266083621,7.32816425791498,0.490439824127438,14.9420252952599,1.75557367174244e-50,9.59892486632625e-49
"SULT1A4",76.9616278762005,7.2285432136957,1.25864694849638,5.74310629547958,9.29553338549587e-09,2.63771951319646e-08
"FCRL5",1364.22314549598,7.22728436792068,0.540444985667025,13.3728400847325,8.71486323934137e-41,2.19776037502101e-39
"CA1",58.2567934351632,7.14969954726113,0.682883032775782,10.4698743475863,1.18800592530594e-25,1.07985642038154e-24
"ALAS2",525.454944825659,7.14457447082456,0.585091500675588,12.2110378677095,2.71404740189313e-34,4.44798265956857e-33
"HBA2",25718.3266252351,7.13745688675667,0.488295869597038,14.6170740552174,2.18594673731604e-48,9.88095274293651e-47
"S100A12",42.093328132806,7.11424556323538,0.560067908567562,12.7024695655762,5.72927925558619e-37,1.12704329236755e-35
"IGHG1",157697.904031422,7.06858190660178,0.563199828186839,12.5507529527456,3.93747984183208e-36,7.36388126954137e-35
"abParts",152191.438456121,7.03970447745863,0.512045871353413,13.7481910729046,5.22188824456805e-43,1.55674435024373e-41
"TNFRSF17",173.755779250916,6.97651980897595,0.5916129726918,11.7923712477657,4.27337006949716e-32,6.0837824491386e-31
"CCL7",35.1503274696101,6.95851356102054,0.702510243629521,9.90521294759968,3.95127398758348e-23,3.03056058796525e-22
"IGVK-A2",122.15464997416,6.93255393793787,0.812338304095751,8.53407244615258,1.41284294618526e-17,7.32665418479421e-17
"IL8",629.329197302397,6.9102879771257,0.532920575790079,12.9668252476101,1.88684845616788e-38,4.06980698013402e-37
"MYH2",237.012631704801,6.90581760164559,1.12481755614989,6.13950019173186,8.27815242932952e-10,2.54108228898345e-09
"IGJ",9019.64922699609,6.82888212662467,0.472477164577426,14.4533591009256,2.38752080497598e-47,1.00147899494487e-45
